name,rh,t,lat,lng
PT18-8JL,63fe40d54e373f000e48fc33,6444912fc88148000f6fa7de,45.498006,-107.696585
PT19-N95-BK,63fe5b7b00e0a7000c20851b,644443f0c2d581000e1ed962,,
PT19-Y98,648b2e8104a601000c406608,648b2e822e82c7000d271402,,
PT2-EKB,647e37bfec7c05f30f057523,647e37c602f7ffd8db071745,41.66202,-103.122005
PT2-JWL,6442e43fbe365105ff2d0c22,6442e440cdc1b5000c45c836,,
PT20-982-BK,63fe611fda2858000e4fcbd3,645156b184506d276b2357a2,,
PT20-UK2,648b27d6a202e2000bf8559d,648b27db11ed0a000d66ddd6,,
PT21-K3E-BK,63fe65de9a46d8000c3f3e23,645156b06a8b212a6e20367c,,
PT21-U3K,648b2e7f66b6ec000ff468ac,648b2e8010ea19000feb7c41,40.79857361,-102.9991778
PT22-WLN,63fe6ce49a4b8b000edf5daa,645156b07d66340e35a61991,,
PT23-59A,648b439eef28da00119b06c4,648b439e2e82c7000d271439,,
PT23-T3V-BK,63ff859b947625000e966f8c,645156b01ca5eb28d29df2b6,,
PT24-8PK,648b35ab2e82c7000d271405,648b35ac69b3590470ae6b07,,
PT24-HFV-BK,63ff8f309c2523000d203b00,645156af47e3b52a3c1191d1,,
PT25-U8T-BK,6408d806e3749e000e45f7b1,6442e44424ddbc000e87c648,,
PT25-ULH-?,63ff983155bc4d000d0457e9,6499a9548ecb9f007af4f181,,
PT25-WR5,64cbe442f52fef000e3c0b4e,64cbe4432a2129000d230210,,
PT26-EPU,640a85f11726b2000b0183aa,647e1babd3d802f3009ea04c,45.691966,-108.703652
PT27-MPK-BK,64230a200a77fc000d1ccd61,645156b03245d1000deb3c16,,
PT28-BDT,648b3caeef28da000f63b4fd,648b3cae4e601503e9bfa449,,
PT29-FME,64ee2b2038e6b1000cd4c650,64ee2b2278f7bc000c26d36f,40.26273664877748,-103.8176308
PT3-ATR,645156b01639d125620b7ed5,645156b0b6bd4c2e411b12bf,40.09193131,-104.4217606
PT4-CT3,6446301ba573f0b6c501a609,6446301b63ffa9c17a3eca63,45.90961,-108.291292
PT5-KGM,644501a5bca6e3000deefb52,644501a6e4af7f000bf8a296,,
PT6-NF5,644346afc88148000cf699e7,644346af63ffa90c16ac936f,41.89158109,-104.1524554
PT7-6U5-BK,64434dbecdc1b5000c45c850,64434dbfcdc1b5059e56811b,,
PT7-VD9,648b4aa004a601000d19a6f7,648b4aa166b6ec000ff468ec,41.06073397,-101.990575
PT8-68H,64bac80315759d037d3bbd25,64bac80587b0e8000d6be551,,
PT8-BX9-BK,6442e43f4a3bc0000c7aaca8,6442e4404a3bc0000dd81d02,,
PT9-M8U,645156ce47e3b51c2399761a,645156cf1ca5eb000db782ae,40.5562756,-105.0364757
Potato1,65516bb7fcddc6000ccafb47,65516bb8f1d51a000d37119a,,
Potato2,65516bb807b504000eb77b8f,65516bb8fcddc6000ccafb48,,
WS1-RFH,65c12a1a40d838000d4408c5,65c12a1b29e691000de4d2cd,,
WS11-EF5,65c27ef800f53b000dbb197c,65c27ef9d8dca4000ebc4994,40.45948689837198,-104.6557907
WS12-ESF,6633cda1efd480018020fc75,6633cda2972270000bb4ffca,,
WS15-NUJ,65c295c692b375000a504151,65c295c639f940000d986a2e,,
WS16-97M,65c297d613a987000d2e1e50,65c297d713a987000d2e1e51,45.81685,-107.621486
WS17-WLE,65c29a0b39f940000d986a32,65c29a0ba6f677000ddd0937,39.9229446,-102.8054753
WS18-MHD,65c29d5d39f940000d986a34,65c29d5d39f940000d986a35,,
WS19-ECW,65c3c37648bb6b000e4e9979,65c3c377e858cb000eb4367a,40.24179856487036,-103.8041896
WS2-RWU,65c131fce0ddff000c5fbc11,65c131fd1d2867000ebc55ef,,
WS20-CXA,65c3c5102e3cdb000d09150d,65c3c51148bb6b000d333ba5,40.24179856487036,-103.8043698
WS21-D4A,65cbd3bb5275cb000c07939a,65cbd3bb72939d000e5c677d,,
WS22-TY7,65cbda2af27f00000d3c283a,65cbda2a11dcd4000bf6f6e4,,
WS23-2TE,65d641017a715d000d804df1,65d64102a3a86d000c7e42ab,,
WS24-H9Y,65d641e27a715d000e86694e,65d641e26eb306000e5dc7af,,
WS25-F2W,65d644066eb306000dee50f9,65d644067a7226000bcdb493,,
WS26-5KL,65d644ba5ee5f8000c3ec157,65d644bb7a7226000c15eb7f,,
WS27-XLU,65d6457c7a715d000bf94dc0,65d6457d7a715d000c7d068c,,
WS28-XHT,65d646b75ee5f8000c3ec159,65d646b75ee5f8000bba64a8,,
WS29-JC6,65d648085ee5f8000c3ec15b,65d648088bb13d000e195079,46.252846,-107.373039
WS3-NYM,65c13224b78889000c09cfb4,65c1322429e691000e783bc4,,
WS30-TDE,65d64973a3a86d000b097358,65d649737a715d000d804df3,46.133496,-107.566337
WS31-H39,6601c2085fe5e12e579fb4db,6601c208158679314acadde0,,
WS32-UF4,6601c45c2d439f2f0cd615c3,6601c45c4bbb713194d31a3b,,
WS33-HTE,6601c57ef7bd283140c8ce24,6601c57e158679306b7ee054,,
WS34-YKL,6601c717158679306b7ee056,6601c717f7bd28322857b8bb,,
WS35-F4R,6601c966ca0eeb3251d33804,6601c9664bbb713194d31a6a,,
WS36-DK3,6601cbf05fe5e133cd1dd980,6601cbf1022d5e321084e51a,,
WS37-4NE,6601cdd45f4c803643ea5668,6601cdd45fe5e134ed5d28be,,
WS38-G4T,6601cf2a42c3f332558616a5,6601cf2a2099c433035b02b1,,
WS4-GWF,65c135ccf27833000bf57ff1,65c135cd323a66000e66f43d,,
WS47-6P9,6644d5387d2393000b8b9e7f,6644d5387d2393000b8b9e80,40.57332398972913,-105.082646
WS48-ABS,6644f0dd573ffb000ce2b97f,6644f0ddb921b4000b90b85d,40.6263197,-105.0377406
WS5-G2N,65c13e5463c11f000d32382c,65c13e559deec5000eb8c4ea,40.43649540640561,-104.6749997
WS6-EJV,65c142e5ea2c8f000b73f40d,65c142e5ea2c8f000b73f40e,,
WS7-7R8,65c14dc29deec5000eb8c4ec,65c14dc29deec5000c8f3edc,40.396764305572056,-104.6558167
WS8-E6A,65c153d5a5f597000d44a13f,65c153d5eeacfe000de00969,45.898358,-107.588518
WS9-JYA,65c156eb025b8a000d9fa069,65c156ecbfbc4b000d7a0312,46.26334,-106.833185
